participant_id,repetition,list_position,word,category,recalled
3,12345,1,robin,birds,False
3,12345,2,radish,vegetables,False
3,12345,3,baseball,sports,False
3,12345,4,saxophone,musical_instruments,False
3,12345,5,doctor,professions,False
3,12345,6,raven,birds,False
3,12345,7,espresso,drinks,False
3,12345,8,jeans,clothing,False
3,12345,9,rake,tools,False
3,12345,10,dresser,furniture,False
3,12345,11,ferry,vehicles,False
3,12345,12,basketball,sports,False
3,12345,13,lawyer,professions,False
3,12345,14,screw,tools,False
3,12345,15,fox,animals,False
3,1,1,drawer,furniture,False
3,1,2,hawk,birds,False
3,1,3,chisel,tools,False
3,1,4,goat,animals,False
3,1,5,singer,professions,False
3,1,6,file,tools,False
3,1,7,blueberry,fruits,False
3,1,8,trumpet,musical_instruments,False
3,1,9,wagon,vehicles,False
3,1,10,cabin,buildings,False
3,1,11,hammer,tools,False
3,1,12,banana,fruits,False
3,1,13,shelf,furniture,False
3,1,14,rowing,sports,False
3,1,15,harp,musical_instruments,False
3,1,1,knee,body_parts,True
3,1,2,tea,drinks,False
3,1,3,barn,buildings,True
3,1,4,wrestling,sports,False
3,1,5,lamp,furniture,False
3,1,6,rake,tools,False
3,1,7,glove,clothing,False
3,1,8,banana,fruits,False
3,1,9,wardrobe,furniture,True
3,1,10,wine,drinks,True
3,1,11,cabbage,vegetables,True
3,1,12,foot,body_parts,False
3,1,13,garlic,vegetables,True
3,1,14,rain,weather,True
3,1,15,parrot,birds,True
