participant_id,repetition,list_position,word,category,recalled
1,1,1,pear,fruit,False
1,1,2,bed,furniture,False
1,1,3,pitcher,kitchenware,True
1,1,4,table,furniture,False
1,1,5,papaya,fruit,True
1,1,6,bat,animals,False
1,1,7,truck,vehicles,True
1,1,8,lime,fruit,False
1,1,9,ladder,tools,False
1,1,10,bowl,kitchenware,False
1,1,11,kale,vegetables,False
1,1,12,dentist,occupations,False
1,1,13,banana,fruit,True
1,1,14,bear,animals,True
1,1,15,mug,kitchenware,True
1,1,1,rake,tools,False
1,1,2,eye,body_parts,False
1,1,3,apron,kitchenware,False
1,1,4,nail,tools,False
1,1,5,foot,body_parts,False
1,1,6,rat,animals,False
1,1,7,table,furniture,False
1,1,8,napkin,kitchenware,False
1,1,9,papaya,fruit,True
1,1,10,frog,animals,False
1,1,11,canoe,vehicles,False
1,1,12,toaster,kitchenware,True
1,1,13,wagon,vehicles,True
1,1,14,clerk,occupations,False
1,1,15,hand,body_parts,True
